source,target,similarity_ranking
546755,535725,14
546755,185400,14
546755,706776,14
546755,20031,13
546755,406400,13
546755,688322,13
546755,85254,13
546755,101393,12
546755,607351,12
546755,758884,12
546755,482695,12
546755,555171,12
546755,163885,12
546755,567228,12
546755,385448,12
546755,302776,12
546755,581982,12
546755,286704,12
546755,766437,11
546755,284112,11
546755,427241,11
546755,130004,11
546755,821696,11
546755,138129,10
546755,574084,10
680513,731770,10
680513,959630,9
680513,657034,9
680513,913194,8
680513,958644,8
680513,323828,8
680513,56942,8
680513,783657,8
680513,319226,8
680513,239602,7
680513,591465,6
680513,861257,6
680513,169713,6
680513,219936,6
680513,545885,6
680513,800948,6
680513,361031,6
680513,920186,6
680513,87299,6
680513,683050,6
680513,53983,5
680513,86307,5
680513,606164,5
680513,862986,5
680513,782323,4
680513,55194,4
680513,677618,4
680513,131472,4
680513,567380,4
680513,149930,4
939077,665719,26
939077,850225,20
939077,407707,19
939077,754832,18
939077,582014,18
939077,232215,15
939077,352702,14
939077,606962,14
939077,101393,13
939077,263318,13
939077,588717,11
939077,617891,11
939077,707420,11
939077,294618,10
939077,838716,10
939077,395611,9
939077,574084,9
939077,666220,9
939077,319670,9
939077,301847,9
939077,363301,9
939077,664957,8
939077,348307,8
939077,860820,8
939077,169760,7
939077,681522,7
939077,682104,7
939077,456039,7
939077,665092,7
939077,200019,6
173152,535181,16
173152,606164,15
173152,707349,14
173152,505694,13
173152,301721,13
173152,338814,13
173152,860021,12
173152,138637,12
173152,100913,12
173152,270472,12
173152,406400,12
173152,33471,12
173152,637293,12
173152,330110,11
173152,939877,11
173152,348307,11
173152,776758,11
173152,607351,11
173152,319860,10
173152,798236,10
173152,20031,10
173152,482484,10
173152,25122,10
173152,861764,10
173152,963685,10
173152,350356,10
173152,414856,10
173152,994664,9
173152,705786,9
173152,173028,9
756163,230772,29
756163,465327,21
756163,358068,20
756163,168087,19
756163,634540,18
756163,201356,17
756163,536849,17
756163,852650,16
756163,681371,16
756163,108514,15
756163,984363,15
756163,861515,14
756163,111635,13
756163,950003,12
756163,158574,11
756163,736652,11
756163,35970,11
756163,25678,10
756163,860675,10
756163,897957,10
756163,627761,9
756163,900405,9
756163,683067,9
756163,50621,9
756163,318640,9
756163,939852,9
756163,456039,9
756163,85942,8
756163,737508,8
756163,948002,8
483022,505694,50
483022,338814,43
483022,406400,40
483022,350356,39
483022,100913,39
483022,40152,36
483022,911419,34
483022,20031,32
483022,776758,31
483022,961772,31
483022,606164,30
483022,160411,30
483022,404983,30
483022,605224,30
483022,683261,29
483022,109782,29
483022,33471,28
483022,997377,28
483022,173028,28
483022,861764,27
483022,195509,27
483022,415224,25
483022,384002,25
483022,196950,25
483022,581790,25
483022,270472,25
483022,77142,24
483022,714008,24
483022,707349,24
483022,482484,24
624810,20031,35
624810,735815,34
624810,85254,31
624810,606164,31
624810,284112,28
624810,607351,27
624810,350356,25
624810,758884,25
624810,574084,25
624810,535725,24
624810,800948,24
624810,160411,23
624810,547933,22
624810,456039,22
624810,286704,22
624810,39362,21
624810,535632,21
624810,534037,21
624810,258717,21
624810,163885,21
624810,302776,20
624810,832998,20
624810,118846,19
624810,505694,19
624810,71271,19
624810,333208,19
624810,555997,19
624810,101393,18
624810,211534,18
624810,405952,17
922269,231455,18
922269,547933,18
922269,994664,17
922269,100913,15
922269,547275,15
922269,783441,15
922269,138129,14
922269,406400,13
922269,683050,13
922269,151203,13
922269,414856,13
922269,26500,13
922269,160411,12
922269,456039,12
922269,302776,12
922269,535181,12
922269,776758,11
922269,832998,11
922269,546344,11
922269,118846,11
922269,607351,11
922269,33471,11
922269,170755,11
922269,118804,11
922269,791422,11
922269,384087,11
922269,581982,11
922269,535725,10
922269,163885,10
922269,505694,10
850225,754832,25
850225,939077,20
850225,582014,19
850225,605781,18
850225,232215,17
850225,707420,16
850225,737508,16
850225,454177,15
850225,931453,15
850225,352702,14
850225,263318,14
850225,588717,13
850225,767782,13
850225,101393,13
850225,339282,13
850225,789237,12
850225,627761,12
850225,871439,12
850225,483196,12
850225,111635,12
850225,665719,12
850225,363301,11
850225,896621,11
850225,228540,10
850225,860820,10
850225,301847,10
850225,407707,10
850225,666372,9
850225,909475,9
850225,736308,9
233186,680986,38
233186,860982,31
233186,637293,29
233186,994664,27
233186,911419,26
233186,860721,25
233186,406400,21
233186,64599,21
233186,482695,20
233186,101515,20
233186,258919,19
233186,952442,19
233186,138129,19
233186,483705,19
233186,26500,18
233186,406999,18
233186,535357,18
233186,25678,18
233186,963787,18
233186,333742,18
233186,798084,18
233186,918922,18
233186,361031,18
233186,688631,17
233186,909475,17
233186,505694,17
233186,775840,17
233186,909273,17
233186,218180,17
233186,505196,17
480206,95897,9
480206,187828,9
